user	instance_id	displayed_text	I have read and understood the instructions.:::Yes	I want to participate in this research and continue with the study.:::Yes	Does the explanation justify the answer?:::No	Does the explanation justify the answer?:::Yes	Does the explanation justify the answer?:::Weakly Yes	Does the explanation justify the answer?:::Weakly No	reason:::Contain hallucinated content (not present in the premise)	reason:::None (only if the previous answer is Yes)	reason:::Too trivial (only repeating one of the sentences)	reason:::Insufficient justification	reason:::Does not make sense (nonsensical)	reason:::Irrelevant to the task
60d28e4b28fe97cc56f657d0	196	"<strong>Hypothesis:</strong> Case Keenum led the Vikings in the win over New Orleans Saints in the Minneapolis Miracle .<br> <hr size=""2""><strong>Premise:</strong> He led the Vikings to a 13-3 season , and a victory them over the New Orleans Saints in the divisional round .<br> <hr size=""2""><strong>Relationship:</strong> neutral <br> <hr size=""2""><strong>Explanation:</strong>  case keenum led the vikings to a 13-3 season, and a victory them over the new orleans saints in the divisional round."				1					4			
60d28e4b28fe97cc56f657d0	477	"<strong>Hypothesis:</strong> A man is standing beside a large and colorful birdcage<br> <hr size=""2""><strong>Premise:</strong> A man is standing beside a birdcage which is large and colorful<br> <hr size=""2""><strong>Relationship:</strong> entailment <br> <hr size=""2""><strong>Explanation:</strong>  a man is standing beside a large and colorful birdcage is the same as a man is standing beside a large and colorful birdcage."					2				4	2		
60d28e4b28fe97cc56f657d0	411	"<strong>Hypothesis:</strong> a hospital trust is being investigated by the health watchdog over its finances.<br> <hr size=""2""><strong>Premise:</strong> Monitor is looking into the financial sustainability of Southend University Hospital Foundation Trust ""on behalf of patients"", the NHS regulator said. Finances became a concern when a planned £7.8m deficit grew, for which Monitor could see no recovery plan. The hospital blamed the larger-than-anticipated deficit on growth in demand and increased staff recruitment. Hospital chairman Alan Tobias OBE, said:  ""The overspend is a result of vital investment in services and more staff to ensure high standards of patient care as well as the rise in attendances. ""We welcome this review to clearly demonstrate to Monitor - as well as patients and stakeholders - our future financial plans are both robust and sustainable."" The hospital has pledged to cut the deficit while maintaining ""high quality care for local people"" and said it was committed to returning to a surplus within three years. Monitor said its investigation will look into the state of the hospital trust's finances, assess the strength of its financial management and explore ways of improving its sustainability, on behalf of patients across the region. The investigation will also examine how the trust works with other local health and care organisations to respond to the financial challenges it faces. Katherine Cawley, regional director at Monitor, said: ""People are relying on Southend to provide them with quality healthcare now and in the future, and we are concerned that this may be at risk because of the trust's poor financial performance. ""We have launched this investigation to find out more about the financial situation at the trust and to establish what can be done to improve things.""<br> <hr size=""2""><strong>Relationship:</strong> entailment <br> <hr size=""2""><strong>Explanation:</strong>  monitor is the health watchdog."					2				4	2		
5e4949035607633bb4759ffe	Explanation-Evaluation-consent.html	consent	I have read and understood the instructions.:::Yes	I want to participate in this research and continue with the study.:::Yes										
5e4949035607633bb4759ffe	408	"<strong>Hypothesis:</strong> The woman is dicing garlic<br> <hr size=""2""><strong>Premise:</strong> Garlic is being diced by the woman<br> <hr size=""2""><strong>Relationship:</strong> entailment <br> <hr size=""2""><strong>Explanation:</strong>  if garlic is being diced by the woman, then the woman is dicing garlic."				1					4			
5e4949035607633bb4759ffe	321	"<strong>Hypothesis:</strong> A cat is crawling under a piece of furniture<br> <hr size=""2""><strong>Premise:</strong> A cat is not crawling under a piece of furniture<br> <hr size=""2""><strong>Relationship:</strong> contradiction <br> <hr size=""2""><strong>Explanation:</strong>  if a cat is not crawling under a piece of furniture than it is not crawling under it."				1				6				
5e4949035607633bb4759ffe	476	"<strong>Hypothesis:</strong> Uta Hagan has a middle name .<br> <hr size=""2""><strong>Premise:</strong> Uta Thyra Hagen -LRB- 12 June 1919 -- 14 January 2004 -RRB- was an American actress and theatre practitioner .<br> <hr size=""2""><strong>Relationship:</strong> entailment <br> <hr size=""2""><strong>Explanation:</strong>  Uta Hagen was an actress and theatre practitioner."						3						3
5e4949035607633bb4759ffe	273	"<strong>Hypothesis:</strong> A person in a blue jacket is jumping onto a tall cement wall<br> <hr size=""2""><strong>Premise:</strong> The man is performing a large jump<br> <hr size=""2""><strong>Relationship:</strong> neutral <br> <hr size=""2""><strong>Explanation:</strong>  a large jump does not imply that the man is jumping onto a tall cement wall."				1				6				
5e4949035607633bb4759ffe	attention_question_testing_1	"<strong>Hypothesis:</strong>  A snowboarder is grinding down a long rail<br> <hr size=""2""><strong>Premise:</strong>  A person is doing a trick on a snowboard<br> <hr size=""2""><strong>Relationship:</strong> neutral<br> <hr size=""2""><strong>Explanation:</strong> a person doing a trick on a snowboard is not necessarily grinding down a long rail. <br>This is a attention test, please select Weakly Yes, None"					2			6				
5e4949035607633bb4759ffe	43	"<strong>Hypothesis:</strong> members of the russian parliament are due to call for a referendum on russia's future in crimea.<br> <hr size=""2""><strong>Premise:</strong> Pro-Kremlin party A Just Russia put forward both bills, and linked them directly to the situation in Ukraine. Separatist and pro-Russian feelings are strong in Ukraine's Crimea region, which is now the focus of the crisis. Russian MPs say a referendum or a plea from a territory's leaders would be enough to trigger the new provisions. There are already many Russian citizens in Crimea. In Sevastopol, base of the Russian Black Sea Fleet, a majority hold Russian passports. Under Russia's existing law, a neighbouring state would have to sign a treaty with Russia to allow part of its territory to become a new ""subject"" of the Russian Federation. But Mikhail Yemelyanov, deputy leader of A Just Russia, said the law had been drafted for peaceful times, and did not go far enough for situations where a state was falling apart. ""In conditions where a neighbouring state is disintegrating I don't think the Russian Federation should be restricted in its ability to accept a territory whose people have expressed a clear will and desire to be in Russia,"" he said. Since Russia's war with Georgia in 2008, the breakaway Georgian territories of Abkhazia and South Ossetia have come under Moscow's control. Russia poured troops into both regions to help pro-Russian separatists who did not recognise Georgia's authority. The other bill to be considered by the Duma - Russia's lower house - would speed up the procedures for issuing Russian passports. Passport applicants would not have to pay a state tax, and previous residence in Russia would no longer be required. In addition, they would not have to have sufficient funds to support themselves and would not have to give up their Ukrainian citizenship. The bill's preamble says it is aimed ""at supporting the fraternal people of Ukraine, especially the Russian-speaking ones, who are defenceless in the face of the 'brown threat',"" a reference to World War Two fascists who wore brown uniforms. The bill would allow Ukrainians to apply for Russian passports at Russian diplomatic missions before 1 August, and they could become citizens after two months, instead of waiting a year, as is currently the norm. The plan to have a new fast-track procedure for issuing Russian passports was announced in Sevastopol on Thursday by A Just Russia leader Sergei Mironov. Several Russian MPs have also gone to Crimea, including Russian celebrities - former Olympic ice skating champion Irina Rodnina, former cosmonaut Valentina Tereshkova and heavyweight boxer Nikolai Valuev.<br> <hr size=""2""><strong>Relationship:</strong> entailment <br> <hr size=""2""><strong>Explanation:</strong>  the bills are directly linked to the situation in Ukraine. they would be triggered by a referendum or a plea from a territory's leaders. there are already many Russian citizens in Crimea, and a majority hold Russian passports."				1				6				
5e4949035607633bb4759ffe	attention_question_testing_2	"<strong>Hypothesis:</strong>  A snowboarder is grinding down a long rail<br> <hr size=""2""><strong>Premise:</strong>  A person is doing a trick on a snowboard<br> <hr size=""2""><strong>Relationship:</strong> neutral<br> <hr size=""2""><strong>Explanation:</strong> a person doing a trick on a snowboard is not necessarily grinding down a long rail. <br>This is a attention test, please select Weakly Yes, None"					2			6				
5e4949035607633bb4759ffe	124	"<strong>Hypothesis:</strong> A man in a purple suit is standing by a purple case and is playing a guitar<br> <hr size=""2""><strong>Premise:</strong> The guitar is being played by the man, who has the guitar case open for donations<br> <hr size=""2""><strong>Relationship:</strong> neutral <br> <hr size=""2""><strong>Explanation:</strong>  a man in a purple suit is standing by a purple case and is playing a guitar."				1					4			
5e4949035607633bb4759ffe	464	"<strong>Hypothesis:</strong> The sitcom `` The Suite Life of Zack & Cody '' was created by Martin Kallis .<br> <hr size=""2""><strong>Premise:</strong> The Suite Life of Zack & Cody is an American sitcom created by Martin Kallis and Jim Geoghan .<br> <hr size=""2""><strong>Relationship:</strong> entailment <br> <hr size=""2""><strong>Explanation:</strong>  the sitcom was created by Martin Kallis and Jim Geoghan."					2			6				
5e4949035607633bb4759ffe	92	"<strong>Hypothesis:</strong> In Jessie , Falkenberg is a friendless and annoying teacher .<br> <hr size=""2""><strong>Premise:</strong> Falkenberg ( Cheri Oteri ) always get Zuri in trouble , as shown in `` Teacher 's Pest '' . *Chris Bosh appeared as himself in `` Say Yes to the Messy Dress '' .<br> <hr size=""2""><strong>Relationship:</strong> neutral <br> <hr size=""2""><strong>Explanation:</strong>  falkenberg is a friendless and annoying teacher in jessie."			4						4			
5e4949035607633bb4759ffe	203	"<strong>Hypothesis:</strong> Guns N ' Roses is an American hard rock band .<br> <hr size=""2""><strong>Premise:</strong> Guns N ' Roses , often abbreviated as GnR , is an American hard rock band from Los Angeles formed in 1985 .<br> <hr size=""2""><strong>Relationship:</strong> entailment <br> <hr size=""2""><strong>Explanation:</strong>  guns n roses is an american hard rock band."				1				6				
5e4949035607633bb4759ffe	162	"<strong>Hypothesis:</strong> Alexandria is in Libya .<br> <hr size=""2""><strong>Premise:</strong> Alexandria -LRB- -LSB- ˌælɪɡˈzændriə -RSB- or -LSB- ˌælɪɡˈzɑːndriə -RSB- Arabic : الإسكندرية ; اسكندرية ; Ⲁⲗⲉⲝⲁⲛⲇⲣⲓⲁ , Ⲣⲁⲕⲟⲧⲉ -RRB- is the second largest city and a major economic centre in Egypt , extending about 32 km along the coast of the Mediterranean Sea in the north central part of the country .<br> <hr size=""2""><strong>Relationship:</strong> contradiction <br> <hr size=""2""><strong>Explanation:</strong>  Alexandria is in Egypt and Libya is in Libya"					2				4	2		
5e555c2280c35054d481ab71	Explanation-Evaluation-consent.html	consent	I have read and understood the instructions.:::Yes	I want to participate in this research and continue with the study.:::Yes										
5e555c2280c35054d481ab71	149	"<strong>Hypothesis:</strong> The person on the motorcycle is not holding up an arm<br> <hr size=""2""><strong>Premise:</strong> The person on the motorcycle is holding up an arm<br> <hr size=""2""><strong>Relationship:</strong> contradiction <br> <hr size=""2""><strong>Explanation:</strong>  one is holding up an arm while riding a motorcycle, and the other is not."				1				6				
5e555c2280c35054d481ab71	207	"<strong>Hypothesis:</strong> Major Lazer released Run Up before May 2017 .<br> <hr size=""2""><strong>Premise:</strong> Following the success of singles `` Cold Water '' and `` Believer '' , Major Lazer released their third single titled `` Run Up '' on January 26 , 2017 .<br> <hr size=""2""><strong>Relationship:</strong> entailment <br> <hr size=""2""><strong>Explanation:</strong>  run up is a single."				1				6				
5e555c2280c35054d481ab71	attention_question_testing_1	"<strong>Hypothesis:</strong>  A snowboarder is grinding down a long rail<br> <hr size=""2""><strong>Premise:</strong>  A person is doing a trick on a snowboard<br> <hr size=""2""><strong>Relationship:</strong> neutral<br> <hr size=""2""><strong>Explanation:</strong> a person doing a trick on a snowboard is not necessarily grinding down a long rail. <br>This is a attention test, please select Weakly Yes, None"					2			6				
5e555c2280c35054d481ab71	437	"<strong>Hypothesis:</strong> A young girl is wearing a blue patterned swim suit, a black and yellow swim cap and has blue swimming goggles on her head<br> <hr size=""2""><strong>Premise:</strong> A young girl is sitting in swimming gear<br> <hr size=""2""><strong>Relationship:</strong> neutral <br> <hr size=""2""><strong>Explanation:</strong>  not all swimming gear is a blue patterned swim suit, a black and yellow swim cap and has blue swimming goggles on her head."				1				6				
5e555c2280c35054d481ab71	attention_question_testing_2	"<strong>Hypothesis:</strong>  A snowboarder is grinding down a long rail<br> <hr size=""2""><strong>Premise:</strong>  A person is doing a trick on a snowboard<br> <hr size=""2""><strong>Relationship:</strong> neutral<br> <hr size=""2""><strong>Explanation:</strong> a person doing a trick on a snowboard is not necessarily grinding down a long rail. <br>This is a attention test, please select Weakly Yes, None"					2			6				
5e555c2280c35054d481ab71	337	"<strong>Hypothesis:</strong> Toledo grew quickly and sloppily after the construction of the Miami and Erie Canal .<br> <hr size=""2""><strong>Premise:</strong> After construction of the Miami and Erie Canal , Toledo grew quickly ; it also benefited from its position on the railway line between New York City and Chicago .<br> <hr size=""2""><strong>Relationship:</strong> neutral <br> <hr size=""2""><strong>Explanation:</strong>  tupelo grew quickly does not imply it grew sloppily."						3				2		
5e555c2280c35054d481ab71	190	"<strong>Hypothesis:</strong> in the early hours of tuesday morning, cynthia garissa woke up in her bedroom in garissa, kenya's capital, garissa.<br> <hr size=""2""><strong>Premise:</strong> She had been contemplating the 50 hours she'd just spent crushed inside a tiny cupboard, hidden beneath a pile of clothes, with nothing but a bottle of body lotion to try to quench a raging thirst. The sound of her friends being butchered in the courtyard outside echoed in her ears. Cynthia, a 19-year-old student at Garissa's teacher training college on the edge of town, spoke with the studied politeness that I've encountered repeatedly in the past few days in this isolated town, on the hot, dry plains that stretch towards and over the seemingly notional border that separates Kenya from Somalia. There have been plenty of tears from the survivors of Thursday's killings. But when confronted by a foreign journalist, each student I met seemed too anxious to reach - more so than in any other similar situation I can remember - for some approximation of composure. ""I'm fine, thanks."" ""Everything is fine now."" ""Thank you for asking."" I am very wary of reading too much into such things. But I found their politeness increasingly unbearable. I couldn't shake off the sense that it was somehow linked to the horrors they'd just endured; that it was a lingering echo of the instinctive, terror-driven restraint - a numbed obedience borne out of the purest desperation - that had allowed four gunmen to spend hours sifting, separating, taunting and butchering a huge crowd of young men and women. These feel like bewildering times for Kenya. Not so much in Garissa. In this poor town on the banks of the slow, brown Tana river, the local ethnic Somali population is used to navigating the complexities of religion and identity. They are proud Kenyans, but occasionally feel like second-class citizens, suspected by every passing, bribe-hungry policeman of supporting the Islamist militants of al-Shabab across the border. But elsewhere, Kenya seems preoccupied by other matters; by its own hectic development, its increasingly confident, assertive sense of itself as a modern, industrialised, tolerant nation - albeit one with deep levels of inequality. Al-Shabab - with its bombs, its medieval values, and blood-curdling threats - feels not just out of place here, but baffling. Something on which to turn one's back. Perhaps that helps to explain why, despite the 2013 attack at Nairobi's Westgate mall, security in the capital remains noticeably lax. At Wilson airport this week, a porter helpfully offered to smuggle my bag on to a plane without going through the scanners. When I asked him why, he shrugged and said: ""Oh, I thought you were carrying guns."" And yet you could argue that Kenya's leaders must have known all this was on the horizon. For two decades Kenya managed to live alongside one of the world's most anarchic countries. It took in vast numbers of Somali refugees, many of them lived in giant camps near the border, supported by the UN and international NGOs, and helping to stimulate the local economy. But Somalia's chaos stayed, for the most part, outside of Kenya. Then, in 2011, the government's patience snapped - partly due to a series of kidnappings along Kenya's tourist-dependent coast. Troops were sent into Somalia and Kenya's government quickly found itself neck-deep in the murky world of clan politics and patronage, buffer zones, spheres of influence, and the need strike deals with ""friendly"" warlords. Since then, al-Shabab has lashed out repeatedly at Kenya. Revenge is part of it. But some would argue that the focus on Kenya is actually a sign of al-Shabab's current weakness, as it loses territory within Somalia to African Union forces and an increasingly confident central government, and seeks to project the illusion of strength elsewhere. Then there is the fact that al-Shabab is no longer a purely cross-border operation. It has established deep roots (as President Uhuru Kenyatta acknowledged again on Saturday) within Kenya - roots nourished by the activities of Kenya's heavy-handed security forces and by the growing sense of alienation felt by young men in marginalised communities along the Somali border and the coast. And then there is Greater Somalia. It is no secret - indeed it is enshrined in the five-pointed star on the national flag - that Somalis have always cherished the idea of one day uniting all the ethnic Somali regions taken from it at the end of the colonial era - in Ethiopia, Kenya and Djibouti, along with Somaliland - into one Greater Somalia stretching across the Horn of Africa. Al-Shabab may publicly espouse a global jihadist agenda, but it too is motivated by deeply nationalistic urges. By attacking non-Muslim students in Garissa, the militants may well have been seeking - in their warped way - to promote the fortunes of Greater Somalia, by sewing divisions between ethnic Somalis and other Kenyans in the area. Not that there was any hint in Garissa this week, that the militants were succeeding. Quite the opposite. Yes, it was disappointing to see the way the surviving students were treated by the authorities here - forced to camp out for two days before being bussed out of town. Surely they deserved better than that. One suspects wealthier students, at a more prestigious college, would have received more prompt support. But overall such horrific incidents still seem more likely to foster national unity, to bring communities together in shared revulsion, than to divide.<br> <hr size=""2""><strong>Relationship:</strong> contradiction<br> <hr size=""2""><strong>Explanation:</strong>  the militants are not promoting greater somalia."			4							2	1	
5e555c2280c35054d481ab71	450	"<strong>Hypothesis:</strong> Kids are being dressed in costumes and playing a game<br> <hr size=""2""><strong>Premise:</strong> A young girl with painted face is standing next to some other children<br> <hr size=""2""><strong>Relationship:</strong> neutral <br> <hr size=""2""><strong>Explanation:</strong>  just because a young girl with painted face is standing next to some other children does not mean they are being dressed in costumes and playing a game."				1				6				
5e555c2280c35054d481ab71	219	"<strong>Hypothesis:</strong> `` The Law of Cycles '' is an abstract concept related to magical girls in Puella Magi Madoka Magica .<br> <hr size=""2""><strong>Premise:</strong> `` This rewrites the laws of the universe , resulting in Madoka transcending into an abstract concept called `` '' The Law of Cycles '' '' which ferries magical girls away at the moment of their despair and Homura being the only one who remembers her in the new world that is formed.  ''<br> <hr size=""2""><strong>Relationship:</strong> entailment <br> <hr size=""2""><strong>Explanation:</strong>  the law of cycles is an abstract concept that is related to magical girls in Puella Magi Madoka Magica."					2							
5e555c2280c35054d481ab71	179	"<strong>Hypothesis:</strong> The special edition Blu-ray of `` Color of Night '' was released under license from Disney .<br> <hr size=""2""><strong>Premise:</strong> In 2018 , Kino Lorber released a special edition Blu-ray of the film ; it contains an audio commentary of director Richard Rush.<br> <hr size=""2""><strong>Relationship:</strong> neutral <br> <hr size=""2""><strong>Explanation:</strong>  the special edition Blu-ray of  Color of Night '' was not released under license from Disney."			4								1	
5e555c2280c35054d481ab71	472	"<strong>Hypothesis:</strong> A man is wearing a straw hat and smoking a cigarette<br> <hr size=""2""><strong>Premise:</strong> The man in the straw hat is not smoking a cigarette<br> <hr size=""2""><strong>Relationship:</strong> contradiction <br> <hr size=""2""><strong>Explanation:</strong>  the man is not smoking a cigarette and wearing a straw hat at the same time."						3					1	
5e555c2280c35054d481ab71	390	"<strong>Hypothesis:</strong> Guns N ' Roses is an American hard rock band .<br> <hr size=""2""><strong>Premise:</strong> Guns N ' Roses , often abbreviated as GnR , is an American hard rock band from Los Angeles formed in 1985 .<br> <hr size=""2""><strong>Relationship:</strong> entailment <br> <hr size=""2""><strong>Explanation:</strong>  guns n'roses is an american hard rock band is a rephrasing of guns n'roses, often abbreviated as gnr, is an american hard rock band"				1				6				
61115e026711eecf59e0e7ee	215	"<strong>Hypothesis:</strong> Resident Evil is the first movie in the Resident Evil film series .<br> <hr size=""2""><strong>Premise:</strong> It is the first installment in the Resident Evil film series , which is loosely based on the Capcom survival horror video game series Resident Evil .<br> <hr size=""2""><strong>Relationship:</strong> entailment <br> <hr size=""2""><strong>Explanation:</strong>  resident evil is the first movie in the resident evil film series."				1				6				
61115e026711eecf59e0e7ee	Explanation-Evaluation-consent.html	consent	I have read and understood the instructions.:::Yes	I want to participate in this research and continue with the study.:::Yes										
61115e026711eecf59e0e7ee	299	"<strong>Hypothesis:</strong> a unexploded world war two bomb found on a street in sheffield has been declared safe.<br> <hr size=""2""><strong>Premise:</strong> It was the fourth time in a week a device - believed to be a World War Two munition - had been found in the city. Roads around Matilda Street were sealed off at about 10:30 BST and traffic was diverted as police liaised with a military bomb disposal team. The area was declared safe by South Yorkshire Police about four hours later. Three devices were uncovered in the same area last Wednesday and a temporary cordon was put in place. More on this and other stories from across South Yorkshire<br> <hr size=""2""><strong>Relationship:</strong> entailment <br> <hr size=""2""><strong>Explanation:</strong>  the fourth time in a week a device - believed to be a World War Two munition - had been found in sheffield."						3				2		
61115e026711eecf59e0e7ee	attention_question_testing_1	"<strong>Hypothesis:</strong>  A snowboarder is grinding down a long rail<br> <hr size=""2""><strong>Premise:</strong>  A person is doing a trick on a snowboard<br> <hr size=""2""><strong>Relationship:</strong> neutral<br> <hr size=""2""><strong>Explanation:</strong> a person doing a trick on a snowboard is not necessarily grinding down a long rail. <br>This is a attention test, please select Weakly Yes, None"				1				6				
